District.Type,District.Number,math19,reading19,name19.x,math22,reading22,name22.x,math25,reading25,name25.x,math_perc_19_22,math_perc_pt_19_22,math_perc_22_25,math_perc_pt_22_25,math_perc_19_25,math_perc_pt_19_25,reading_perc_19_22,reading_perc_pt_19_22,reading_perc_22_25,reading_perc_pt_22_25,reading_perc_19_25,reading_perc_pt_19_25,name19.y,enrollment19,perc_white19,perc_frp19,name22.y,enrollment22,perc_white22,perc_frp22,name25.y,enrollment25,perc_white25,perc_frp25
1,38,16.58,23.23,Red Lake Public School District,2.47,10.52,Red Lake Public School District,3.47,10.29,Red Lake Public School District,-0.851025332,-14.11,0.4048583,1,-0.790711701,-13.11,-0.547137322,-12.71,-0.021863118,-0.23,-0.557038313,-12.94,Red Lake Public School District,1497,0.00%,79.02%,Red Lake Public School District,1467,0.00%,67.42%,Red Lake Public School District,1519,0.13%,81.44%
1,47,53.79,57.19,Sauk Rapids-Rice Public Schools,43.16,53.49,Sauk Rapids-Rice Public Schools,35.62,46.64,Sauk Rapids-Rice Public Schools,-0.197620376,-10.63,-0.174698795,-7.54,-0.337795129,-18.17,-0.064696625,-3.7,-0.12806132,-6.85,-0.18447281,-10.55,Sauk Rapids-Rice Public Schools,4647,86.27%,31.57%,Sauk Rapids-Rice Public Schools,4364,83.89%,28.09%,Sauk Rapids-Rice Public Schools,4331,81.16%,34.22%
1,51,68.31,69.3,Foley Public School District,54.04,57.38,Foley Public School District,56.57,56.97,Foley Public School District,-0.2089006,-14.27,0.046817172,2.53,-0.171863563,-11.74,-0.172005772,-11.92,-0.007145347,-0.41,-0.177922078,-12.33,Foley Public School District,1964,96.79%,28.67%,Foley Public School District,1960,96.12%,18.27%,Foley Public School District,1921,95.42%,27.33%
1,75,64.05,60.36,St. Clair Public School District,49.49,50.7,St. Clair Public School District,49.45,54.95,St. Clair Public School District,-0.227322404,-14.56,-0.000808244,-0.04,-0.227946916,-14.6,-0.160039761,-9.66,0.08382643,4.25,-0.089628893,-5.41,St. Clair Public School District,666,97.30%,16.52%,St. Clair Public School District,762,95.28%,13.25%,St. Clair Public School District,820,95.37%,22.80%
1,77,59.17,64.2,Mankato Public School District,48.38,55.23,Mankato Public School District,54.98,54.42,Mankato Public School District,-0.182355924,-10.79,0.136420008,6.6,-0.070812912,-4.19,-0.139719626,-8.97,-0.014665942,-0.81,-0.152336449,-9.78,Mankato Public School District,8799,74.96%,34.61%,Mankato Public School District,8640,70.73%,29.79%,Mankato Public School District,8219,67.88%,37.68%
1,81,26.76,56.34,Comfrey Public School District,42.37,44.26,Comfrey Public School District,46.3,54.17,Comfrey Public School District,0.583333333,15.61,0.092754307,3.93,0.73019432,19.54,-0.214412496,-12.08,0.223904202,9.91,-0.038516152,-2.17,Comfrey Public School District,148,89.19%,45.95%,Comfrey Public School District,131,92.37%,37.40%,Comfrey Public School District,104,92.31%,41.35%
1,84,51.3,57.78,Sleepy Eye Public School District,38.13,38.15,Sleepy Eye Public School District,43.19,39.15,Sleepy Eye Public School District,-0.256725146,-13.17,0.132703908,5.06,-0.158089669,-8.11,-0.339736933,-19.63,0.02621232,1,-0.322429907,-18.63,Sleepy Eye Public School District,609,62.07%,47.95%,Sleepy Eye Public School District,595,60.34%,32.77%,Sleepy Eye Public School District,562,64.59%,41.46%
1,85,74.67,69.1,Springfield Public School District,71.14,64.38,Springfield Public School District,62.99,58.96,Springfield Public School District,-0.047274675,-3.53,-0.114562834,-8.15,-0.156421588,-11.68,-0.068306802,-4.72,-0.084187636,-5.42,-0.146743849,-10.14,Springfield Public School District,566,92.05%,46.82%,Springfield Public School District,574,86.76%,42.16%,Springfield Public School District,653,84.23%,42.27%
1,88,54.46,57.89,New Ulm Public School District,51.03,50.5,New Ulm Public School District,56.33,50.64,New Ulm Public School District,-0.062982005,-3.43,0.103860474,5.3,0.034337128,1.87,-0.127655899,-7.39,0.002772277,0.14,-0.125237519,-7.25,New Ulm Public School District,2091,91.06%,28.79%,New Ulm Public School District,2083,91.50%,22.32%,New Ulm Public School District,2127,87.59%,32.82%
1,91,62.92,70.54,Barnum Public School District,43.16,60.58,Barnum Public School District,41.4,51.56,Barnum Public School District,-0.314049587,-19.76,-0.040778499,-1.76,-0.342021615,-21.52,-0.141196484,-9.96,-0.148894024,-9.02,-0.269067196,-18.98,Barnum Public School District,714,92.30%,33.33%,Barnum Public School District,708,86.16%,25.00%,Barnum Public School District,660,87.88%,30.00%
1,93,50.8,57.32,Carlton Public School District,32.07,46.77,Carlton Public School District,29.33,33.12,Carlton Public School District,-0.368700787,-18.73,-0.085438104,-2.74,-0.422637795,-21.47,-0.184054431,-10.55,-0.291853752,-13.65,-0.422191207,-24.2,Carlton Public School District,435,79.54%,36.32%,Carlton Public School District,384,77.60%,27.60%,Carlton Public School District,308,78.57%,42.86%
1,94,58.91,67.23,Cloquet Public School District,39.41,54,Cloquet Public School District,48.19,53.08,Cloquet Public School District,-0.33101341,-19.5,0.222786095,8.78,-0.1819725,-10.72,-0.196787149,-13.23,-0.017037037,-0.92,-0.210471516,-14.15,Cloquet Public School District,2654,72.46%,42.50%,Cloquet Public School District,2646,71.69%,38.06%,Cloquet Public School District,2529,68.72%,42.39%
1,95,51.79,55.21,Cromwell-Wright Public Schools,47.86,58.23,Cromwell-Wright Public Schools,47.92,55.78,Cromwell-Wright Public Schools,-0.075883375,-3.93,0.001253656,0.06,-0.07472485,-3.87,0.054700235,3.02,-0.042074532,-2.45,0.010324217,0.57,Cromwell-Wright Public Schools,331,90.63%,37.76%,Cromwell-Wright Public Schools,310,90.32%,18.06%,Cromwell-Wright Public Schools,300,92.00%,30.33%
1,97,55.82,54.23,Moose Lake Public School District,46.58,50.96,Moose Lake Public School District,41.67,45.98,Moose Lake Public School District,-0.165532067,-9.24,-0.105410047,-4.91,-0.253493372,-14.15,-0.060298728,-3.27,-0.097723705,-4.98,-0.152129817,-8.25,Moose Lake Public School District,655,92.52%,30.99%,Moose Lake Public School District,574,92.16%,20.21%,Moose Lake Public School District,561,90.55%,34.05%
1,99,75.77,80.72,Esko Public School District,66.77,70.75,Esko Public School District,64.33,66.42,Esko Public School District,-0.11878052,-9,-0.036543358,-2.44,-0.150983239,-11.44,-0.12351338,-9.97,-0.061201413,-4.33,-0.1771556,-14.3,Esko Public School District,1283,92.21%,10.44%,Esko Public School District,1275,91.84%,6.27%,Esko Public School District,1287,92.39%,13.52%
1,100,39.62,54.63,Wrenshall Public School District,28.41,45.93,Wrenshall Public School District,37.35,45.66,Wrenshall Public School District,-0.28293791,-11.21,0.31467793,8.94,-0.057294296,-2.27,-0.159253158,-8.7,-0.005878511,-0.27,-0.164195497,-8.97,Wrenshall Public School District,377,90.72%,44.03%,Wrenshall Public School District,378,88.10%,40.21%,Wrenshall Public School District,347,85.88%,40.35%
1,108,60.22,63.71,Central Public School District,49.57,52.63,Central Public School District,53.68,58.19,Central Public School District,-0.176851544,-10.65,0.082913052,4.11,-0.108601793,-6.54,-0.173913043,-11.08,0.105643169,5.56,-0.086642599,-5.52,Central Public School District,986,86.92%,20.69%,Central Public School District,928,87.28%,10.88%,Central Public School District,966,81.88%,25.78%
1,110,70.44,70.52,Waconia Public School District,61.69,63.26,Waconia Public School District,64.76,62.85,Waconia Public School District,-0.124219194,-8.75,0.049764954,3.07,-0.080636002,-5.68,-0.102949518,-7.26,-0.006481189,-0.41,-0.108763471,-7.67,Waconia Public School District,4123,89.93%,11.01%,Waconia Public School District,4049,88.76%,5.01%,Waconia Public School District,3984,88.25%,12.40%
1,111,63.01,64.35,Watertown-Mayer Public School Dist.,48.54,56.38,Watertown-Mayer Public School District,62.38,61.94,Watertown-Mayer Public School District,-0.229646088,-14.47,0.28512567,13.84,-0.009998413,-0.63,-0.123853924,-7.97,0.098616531,5.56,-0.037451437,-2.41,Watertown-Mayer Public School District,1552,94.27%,19.59%,Watertown-Mayer Public School District,1499,93.20%,15.74%,Watertown-Mayer Public School District,1440,91.04%,26.25%
1,112,60.63,67.09,Eastern Carver County Public School,55.51,60.53,Eastern Carver County Public Schools,61.25,62.16,Eastern Carver County Public Schools,-0.084446644,-5.12,0.103404792,5.74,0.010225961,0.62,-0.097779103,-6.56,0.026928796,1.63,-0.073483381,-4.93,Eastern Carver County Public Schools,9829,76.46%,17.14%,Eastern Carver County Public Schools,9379,74.63%,13.97%,Eastern Carver County Public Schools,9274,73.85%,18.96%
1,113,41.85,54.24,Walker-Hackensack-Akeley Schl. Dist,28.93,40.95,Walker-Hackensack-Akeley School District,30.48,36.52,Walker-Hackensack-Akeley School District,-0.308721625,-12.92,0.053577601,1.55,-0.271684588,-11.37,-0.245022124,-13.29,-0.108180708,-4.43,-0.326696165,-17.72,Walker-Hackensack-Akeley School District,799,66.33%,49.69%,Walker-Hackensack-Akeley School District,756,63.49%,41.40%,Walker-Hackensack-Akeley School District,686,58.89%,55.83%
1,115,26.27,35.31,Cass Lake-Bena Public Schools,14.65,22.42,Cass Lake-Bena Public Schools,15.95,20.5,Cass Lake-Bena Public Schools,-0.442329654,-11.62,0.088737201,1.3,-0.392843548,-10.32,-0.365052393,-12.89,-0.085637823,-1.92,-0.419427924,-14.81,Cass Lake-Bena Public Schools,1211,7.27%,82.00%,Cass Lake-Bena Public Schools,1165,7.47%,71.93%,Cass Lake-Bena Public Schools,1119,3.75%,80.52%
1,116,46.32,59.67,Pillager Public School District,45.54,52.62,Pillager Public School District,48.15,50,Pillager Public School District,-0.016839378,-0.78,0.057312253,2.61,0.039507772,1.83,-0.118149824,-7.05,-0.049790954,-2.62,-0.162057986,-9.67,Pillager Public School District,1164,94.93%,42.44%,Pillager Public School District,1228,94.38%,39.41%,Pillager Public School District,1324,92.30%,37.39%
1,118,27.37,40,Northland Community Schools,14.56,24.55,Northland Community Schools,17.31,31.17,Northland Community Schools,-0.468030691,-12.81,0.188873626,2.75,-0.367555718,-10.06,-0.38625,-15.45,0.269653768,6.62,-0.22075,-8.83,Northland Community Schools,360,57.50%,68.06%,Northland Community Schools,361,60.11%,66.20%,Northland Community Schools,344,56.10%,75.58%
1,129,54.02,58.53,Montevideo Public School District,50.59,48.65,Montevideo Public School District,41.99,45.76,Montevideo Public School District,-0.063495002,-3.43,-0.16999407,-8.6,-0.222695298,-12.03,-0.168802324,-9.88,-0.059403905,-2.89,-0.218178712,-12.77,Montevideo Public School District,1409,73.46%,43.72%,Montevideo Public School District,1333,72.54%,40.36%,Montevideo Public School District,1372,65.16%,54.23%
1,138,51.24,55.35,North Branch Public Schools,40.9,50.89,North Branch Area Public Schools,38.41,44.08,North Branch Area Public Schools,-0.201795472,-10.34,-0.060880196,-2.49,-0.25039032,-12.83,-0.080578139,-4.46,-0.133818039,-6.81,-0.203613369,-11.27,North Branch Public Schools,2731,88.47%,29.00%,North Branch Area Public Schools,2573,84.61%,16.71%,North Branch Area Public Schools,2704,82.43%,29.47%
1,139,63.02,66.81,Rush City Public School District,37.89,49.79,Rush City Public School District,45.96,45.41,Rush City Public School District,-0.398762298,-25.13,0.212984956,8.07,-0.270707712,-17.06,-0.254752283,-17.02,-0.087969472,-4.38,-0.320311331,-21.4,Rush City Public School District,848,90.80%,30.66%,Rush City Public School District,863,88.18%,22.25%,Rush City Public School District,805,85.59%,34.53%
1,146,75.8,76.73,Barnesville Public School District,65.34,63.51,Barnesville Public School District,59.87,59.25,Barnesville Public School District,-0.137994723,-10.46,-0.083715947,-5.47,-0.210158311,-15.93,-0.172292454,-13.22,-0.067076051,-4.26,-0.227811808,-17.48,Barnesville Public School District,868,94.93%,17.05%,Barnesville Public School District,898,93.10%,14.03%,Barnesville Public School District,870,91.72%,20.80%
1,150,67.34,69.38,Hawley Public School District,59.14,62.27,Hawley Public School District,70.91,66.5,Hawley Public School District,-0.121770122,-8.2,0.199019276,11.77,0.053014553,3.57,-0.102479101,-7.11,0.067929982,4.23,-0.041510522,-2.88,Hawley Public School District,975,94.05%,13.95%,Hawley Public School District,1007,94.14%,6.75%,Hawley Public School District,1058,94.42%,18.71%
1,152,47.15,52.51,Moorhead Public School District,41.91,45,Moorhead Area Public School District,40.34,44.14,Moorhead Area Public School District,-0.111134677,-5.24,-0.037461226,-1.57,-0.144432662,-6.81,-0.143020377,-7.51,-0.019111111,-0.86,-0.15939821,-8.37,Moorhead Public School District,7027,71.10%,40.23%,Moorhead Area Public School District,7266,66.94%,37.71%,Moorhead Area Public School District,7571,63.19%,47.23%
70,160,16,23.91,Minnesota State Academies,22.5,25.64,Minnesota State Academies,10.26,13.89,Minnesota State Academies,0.40625,6.5,-0.544,-12.24,-0.35875,-5.74,0.072354663,1.73,-0.458268331,-11.75,-0.419071518,-10.02,Minnesota State Academies,152,74.34%,63.82%,Minnesota State Academies,143,72.03%,53.85%,Minnesota State Academies,134,61.94%,79.10%
1,162,45.54,49.82,Bagley Public School District,23.63,30,Bagley Public School District,27.23,29.58,Bagley Public School District,-0.481115503,-21.91,0.152348709,3.6,-0.402064119,-18.31,-0.397832196,-19.82,-0.014,-0.42,-0.406262545,-20.24,Bagley Public School District,1024,71.39%,47.95%,Bagley Public School District,935,70.05%,46.52%,Bagley Public School District,870,69.66%,57.47%
1,166,30.21,56.17,Cook County Public Schools,27.23,57.79,Cook County Public Schools,19.16,47.25,Cook County Public Schools,-0.098642833,-2.98,-0.296364304,-8.07,-0.365772923,-11.05,0.028841018,1.62,-0.182384496,-10.54,-0.158803632,-8.92,Cook County Public Schools,500,72.60%,36.40%,Cook County Public Schools,431,70.07%,25.99%,Cook County Public Schools,475,68.21%,42.32%
1,173,59.02,56.85,Mountain Lake Public Schools,43.61,45.9,Mountain Lake Public Schools,37.55,37.35,Mountain Lake Public Schools,-0.261097933,-15.41,-0.138958954,-6.06,-0.363774992,-21.47,-0.192612137,-10.95,-0.18627451,-8.55,-0.343007916,-19.5,Mountain Lake Public Schools,516,57.95%,53.29%,Mountain Lake Public Schools,502,56.57%,51.79%,Mountain Lake Public Schools,498,53.21%,59.64%
1,177,53.6,57.84,Windom Public School District,42.98,46.4,Windom Public School District,35.55,44.87,Windom Public School District,-0.198134328,-10.62,-0.172871103,-7.43,-0.336753731,-18.05,-0.197786999,-11.44,-0.032974138,-1.53,-0.224239281,-12.97,Windom Public School District,1064,70.58%,43.80%,Windom Public School District,1153,64.35%,40.24%,Windom Public School District,1187,58.30%,48.86%
1,181,62.21,67.87,Brainerd Public School District,50.17,55.77,Brainerd Public School District,45.64,51.48,Brainerd Public School District,-0.193538016,-12.04,-0.090293004,-4.53,-0.266355891,-16.57,-0.17828201,-12.1,-0.076923077,-4.29,-0.241491086,-16.39,Brainerd Public School District,6812,91.62%,40.59%,Brainerd Public School District,6306,89.99%,31.64%,Brainerd Public School District,6079,87.88%,40.19%
1,182,45.63,64.26,Crosby-Ironton Public School Dist.,45.69,57.7,Crosby-Ironton Public School District,43.14,49.01,Crosby-Ironton Public School District,0.001314924,0.06,-0.0558109,-2.55,-0.054569362,-2.49,-0.102085279,-6.56,-0.150606586,-8.69,-0.237317149,-15.25,Crosby-Ironton Public School District,1048,91.51%,42.37%,Crosby-Ironton Public School District,1007,92.06%,27.71%,Crosby-Ironton Public School District,988,90.89%,43.72%
1,186,63.77,70.37,Pequot Lakes Public Schools,44.36,60.48,Pequot Lakes Public Schools,48.87,60.84,Pequot Lakes Public Schools,-0.304375098,-19.41,0.10166817,4.51,-0.233652188,-14.9,-0.140542845,-9.89,0.005952381,0.36,-0.135427029,-9.53,Pequot Lakes Public Schools,1747,95.59%,26.27%,Pequot Lakes Public Schools,1771,95.20%,16.88%,Pequot Lakes Public Schools,1737,94.76%,33.05%
1,191,43.29,48.2,Burnsville Public School District,31.42,40.52,Burnsville-Eagan-Savage School District,30.04,35.94,Burnsville-Eagan-Savage School District,-0.274197274,-11.87,-0.043921069,-1.38,-0.306075306,-13.25,-0.1593361,-7.68,-0.113030602,-4.58,-0.254356846,-12.26,Burnsville Public School District,8874,38.84%,51.00%,Burnsville Public School District,7745,31.22%,48.64%,Burnsville-Eagan-Savage School District,7663,27.47%,56.92%
1,192,55.19,58.61,Farmington Public School District,44.05,49.24,Farmington Public School District,40.27,45.27,Farmington Public School District,-0.201848161,-11.14,-0.085811578,-3.78,-0.270338829,-14.92,-0.159870329,-9.37,-0.080625508,-3.97,-0.227606211,-13.34,Farmington Public School District,7313,79.82%,15.12%,Farmington Public School District,6909,74.74%,13.89%,Farmington Public School District,6458,67.36%,25.44%
1,194,69.33,73.25,Lakeville Public School District,56.81,63.19,Lakeville Area Schools,59.26,59.78,Lakeville Area Schools,-0.180585605,-12.52,0.04312621,2.45,-0.145247368,-10.07,-0.137337884,-10.06,-0.053964235,-3.41,-0.183890785,-13.47,Lakeville Public School District,11204,78.98%,12.80%,Lakeville Public School District,11512,73.95%,12.03%,Lakeville Area Schools,12025,67.09%,21.06%
1,195,53.65,51.75,Randolph Public School District,44.9,45.4,Randolph Public School District,34.18,35.84,Randolph Public School District,-0.163094129,-8.75,-0.238752784,-10.72,-0.362907735,-19.47,-0.122705314,-6.35,-0.210572687,-9.56,-0.307439614,-15.91,Randolph Public School District,684,94.88%,17.98%,Randolph Public School District,769,94.15%,10.14%,Randolph Public School District,875,94.63%,17.49%
1,196,63.88,65.27,Rosemount-Apple Valley-Eagan,51.95,56.98,Rosemount-Apple Valley-Eagan,53.27,56.75,Rosemount-Apple Valley-Eagan,-0.186756418,-11.93,0.025409047,1.32,-0.166092674,-10.61,-0.127010878,-8.29,-0.004036504,-0.23,-0.130534702,-8.52,Rosemount-Apple Valley-Eagan,28997,62.70%,22.44%,Rosemount-Apple Valley-Eagan,29245,58.46%,17.23%,Rosemount-Apple Valley-Eagan,29224,55.03%,29.47%
1,197,55.02,59.89,West St. Paul-Mendota Hts.-Eagan,41.65,53.75,West St. Paul-Mendota Heights-Eagan,43.31,53.42,West St. Paul-Mendota Heights-Eagan,-0.243002545,-13.37,0.039855942,1.66,-0.212831698,-11.71,-0.102521289,-6.14,-0.006139535,-0.33,-0.108031391,-6.47,West St. Paul-Mendota Heights-Eagan,5222,50.38%,41.25%,West St. Paul-Mendota Heights-Eagan,5053,48.49%,35.92%,West St. Paul-Mendota Heights-Eagan,5452,45.49%,46.70%
1,199,47.55,51.63,Inver Grove Heights Schools,32.55,42.17,Inver Grove Heights Schools,32.57,38.02,Inver Grove Heights Schools,-0.315457413,-15,0.000614439,0.02,-0.315036803,-14.98,-0.183226806,-9.46,-0.098411193,-4.15,-0.26360643,-13.61,Inver Grove Heights Schools,3633,52.57%,40.10%,Inver Grove Heights Schools,3447,48.68%,38.82%,Inver Grove Heights Schools,3427,40.97%,49.26%
1,200,68,65.54,Hastings Public School District,48.61,52.08,Hastings Public School District,43.18,49.17,Hastings Public School District,-0.285147059,-19.39,-0.11170541,-5.43,-0.365,-24.82,-0.205370766,-13.46,-0.055875576,-2.91,-0.249771132,-16.37,Hastings Public School District,4391,86.31%,21.68%,Hastings Public School District,4160,82.69%,15.41%,Hastings Public School District,4041,80.60%,28.51%
1,203,42.15,48.8,Hayfield Public School District,34.78,42,Hayfield Public School District,34.69,37.54,Hayfield Public School District,-0.17485172,-7.37,-0.002587694,-0.09,-0.176986951,-7.46,-0.139344262,-6.8,-0.106190476,-4.46,-0.230737705,-11.26,Hayfield Public School District,685,88.91%,32.41%,Hayfield Public School District,667,89.21%,27.44%,Hayfield Public School District,621,88.24%,39.45%
1,204,62.67,66.61,Kasson-Mantorville School District,58.53,59.44,Kasson-Mantorville School District,58.69,62.89,Kasson-Mantorville School District,-0.066060316,-4.14,0.002733641,0.16,-0.06350726,-3.98,-0.107641495,-7.17,0.058041723,3.45,-0.05584747,-3.72,Kasson-Mantorville School District,2222,90.77%,16.47%,Kasson-Mantorville School District,2171,90.05%,10.96%,Kasson-Mantorville School District,2152,86.34%,22.12%
1,206,65.49,65.69,Alexandria Public School District,54.42,53.79,Alexandria Public School District,54.56,54.04,Alexandria Public School District,-0.16903344,-11.07,0.002572584,0.14,-0.166895709,-10.93,-0.181153905,-11.9,0.004647704,0.25,-0.17734815,-11.65,Alexandria Public School District,4191,91.82%,27.92%,Alexandria Public School District,4083,90.01%,20.60%,Alexandria Public School District,4034,88.32%,28.31%
